ExpID: 1768622538
Start Location: 1000
Location: Chicago_sat
Number of Location: 1000
StartTime: 2026-01-16 23:02:18.463105

Item: 1000, Location ID: tzzH1opTDd2sVPxCFza03Q_41.878805_-87.644035, lat:41.878805, long:-87.644035, alt2282, time(sec): 15.123999118804932
Item: 1085, Location ID: wKP0t4pHtbZiY66nX_giSA_41.880072_-87.617636, lat:41.880072, long:-87.617636, alt2282, time(sec): 15.131953239440918
Item: 1086, Location ID: pKyQiGuiRBpl8kdbno8bng_41.860483_-87.628988, lat:41.860483, long:-87.628988, alt2281, time(sec): 15.146792650222778
Item: 1087, Location ID: tTQykg1Vto35nosntQG9Aw_41.880627_-87.664423, lat:41.880627, long:-87.664423, alt2283, time(sec): 16.10264301300049
Item: 1088, Location ID: 9gMKM_6hCLfkMJcGZFduyg_41.868425_-87.671550, lat:41.868425, long:-87.67155, alt2289, time(sec): 16.142831325531006
Item: 1089, Location ID: ZYGbP2gGeZKmny5pULf-uQ_41.888797_-87.672269, lat:41.888797, long:-87.672269, alt2285, time(sec): 14.158360481262207
Item: 1090, Location ID: 96x-rWW2FEQ_eW7MziUSvQ_41.892597_-87.624117, lat:41.892597, long:-87.624117, alt2300, time(sec): 16.138129949569702
Item: 1091, Location ID: r0yuq8dwXMXaAjzAhU7O6A_41.885485_-87.661619, lat:41.885485, long:-87.661619, alt2280, time(sec): 15.127410650253296
Item: 1092, Location ID: sTiGk7oGVYIt2hDsybje9A_41.891793_-87.687350, lat:41.891793, long:-87.68735, alt2282, time(sec): 15.148159742355347
Item: 1093, Location ID: 3aDjlhBSS2Xi8DhYZVe-qA_41.857861_-87.624158, lat:41.857861, long:-87.624158, alt2284, time(sec): 15.175461292266846
Item: 1094, Location ID: aog4T0E32IZTkcXIOXJfIw_41.881746_-87.665825, lat:41.881746, long:-87.665825, alt2283, time(sec): 14.117778539657593
Item: 1095, Location ID: Pp6dDaMtpRufVnxYUdI8RQ_41.890630_-87.624062, lat:41.89063, long:-87.624062, alt2306, time(sec): 15.165817260742188
Item: 1096, Location ID: oHg1Lo8TTm5Ip497hhjOsA_41.873457_-87.684986, lat:41.873457, long:-87.684986, alt2283, time(sec): 14.189931154251099
Item: 1097, Location ID: 3_oAWdXUhCS_RWeI2TiNGQ_41.886330_-87.648070, lat:41.88633, long:-87.64807, alt2279, time(sec): 15.152848958969116
Item: 1098, Location ID: iqUI91A97_icJ2NOYGRx-w_41.878638_-87.641086, lat:41.878638, long:-87.641086, alt2301, time(sec): 16.12200355529785
Item: 1099, Location ID: -BSuKlGppfJljM5ExRIyqg_41.864086_-87.671872, lat:41.864086, long:-87.671872, alt2284, time(sec): 14.15178394317627
Item: 1100, Location ID: nYBU2npUhxLCX_JvO-FnWg_41.872400_-87.635711, lat:41.8724, long:-87.635711, alt2272, time(sec): 16.138232231140137
Item: 1101, Location ID: XpxFUVlBfs103WE2l0klqw_41.890456_-87.675041, lat:41.890456, long:-87.675041, alt2283, time(sec): 14.171473026275635
Item: 1102, Location ID: 9kFLWyQzZko42jmDQ8_8Dw_41.891424_-87.689415, lat:41.891424, long:-87.689415, alt2285, time(sec): 14.18800401687622
Item: 1103, Location ID: lbJ-71eTYcfNbjCWvAFiBw_41.893125_-87.639521, lat:41.893125, long:-87.639521, alt2303, time(sec): 17.14733123779297
Item: 1104, Location ID: YbwtdYQdOWlNw5Pydtfq3Q_41.874063_-87.626024, lat:41.874063, long:-87.626024, alt2288, time(sec): 17.13806176185608
Item: 1105, Location ID: nZ2VZmXibZctYolBdIeRbQ_41.875107_-87.634160, lat:41.875107, long:-87.63416, alt2282, time(sec): 14.148422241210938
Item: 1106, Location ID: ssjqRbZrgUp16ewfY_ojCg_41.856301_-87.621550, lat:41.856301, long:-87.62155, alt2286, time(sec): 15.134174585342407
Item: 1107, Location ID: p_BNepFmQuWWrjnFHLerzA_41.854274_-87.642059, lat:41.854274, long:-87.642059, alt2283, time(sec): 16.16486096382141
Item: 1108, Location ID: A23Gdb0InHoExavkm_ZR4w_41.858600_-87.673985, lat:41.8586, long:-87.673985, alt2284, time(sec): 15.161629438400269
Item: 1109, Location ID: wE8GIj3sss6YKYNwzTOVQQ_41.882609_-87.638209, lat:41.882609, long:-87.638209, alt2277, time(sec): 17.12465524673462
Item: 1110, Location ID: shMniOK1r-g_tZSpu31gMg_41.874924_-87.645619, lat:41.874924, long:-87.645619, alt2278, time(sec): 15.180498838424683
Item: 1111, Location ID: e9jZFrDgmiGRdLSVmN43kQ_41.872947_-87.629119, lat:41.872947, long:-87.629119, alt2301, time(sec): 15.11913013458252
Item: 1112, Location ID: 33bUSgYgqPh107LNjXOAHQ_41.854828_-87.687322, lat:41.854828, long:-87.687322, alt2285, time(sec): 15.15472149848938
Item: 1113, Location ID: doIhoEJxAUGNxPAgbnGg9g_41.883287_-87.623323, lat:41.883287, long:-87.623323, alt2288, time(sec): 18.133912801742554
Item: 1114, Location ID: ZrV9UHYGka-tS0egdrSXUA_41.874256_-87.665113, lat:41.874256, long:-87.665113, alt2284, time(sec): 17.14956760406494
Item: 1115, Location ID: sjMVDUyucugJzTm8CYYDAA_41.871578_-87.670998, lat:41.871578, long:-87.670998, alt2285, time(sec): 15.145057678222656
Item: 1116, Location ID: hfBYdZuKFIh2uKsKWY-lfQ_41.894283_-87.666644, lat:41.894283, long:-87.666644, alt2283, time(sec): 16.1702299118042
Item: 1117, Location ID: jLv-yDmjfrscaXCfyHuIMw_41.886085_-87.629510, lat:41.886085, long:-87.62951, alt2280, time(sec): 17.146811962127686
Item: 1118, Location ID: bD2bXVexRcM3IozjkeOUSQ_41.879487_-87.617476, lat:41.879487, long:-87.617476, alt2279, time(sec): 14.162299871444702
Item: 1119, Location ID: N2I-fXY-dqC_GGzzNae7zw_41.879015_-87.624433, lat:41.879015, long:-87.624433, alt2311, time(sec): 14.164900064468384
Item: 1120, Location ID: AC6upPace-x-efZ-3auAug_41.893367_-87.649666, lat:41.893367, long:-87.649666, alt2281, time(sec): 16.22322392463684
Item: 1121, Location ID: l38DM9difIBYoQOlpO8q-Q_41.872769_-87.623239, lat:41.872769, long:-87.623239, alt2288, time(sec): 15.190298080444336
Item: 1122, Location ID: 2tYzpPKA2CWaG9nJqqXL9Q_41.891177_-87.649951, lat:41.891177, long:-87.649951, alt2274, time(sec): 14.119804382324219
Item: 1123, Location ID: tNlgKFrmC9I58JIitF_zAw_41.892789_-87.673917, lat:41.892789, long:-87.673917, alt2283, time(sec): 15.203438758850098
Item: 1124, Location ID: NLuB-Wj9Gx2WmqpV8JyG9g_41.889031_-87.643806, lat:41.889031, long:-87.643806, alt2295, time(sec): 16.155617237091064
Item: 1125, Location ID: U29I8I0UfrSH9l4APRZ1iQ_41.877346_-87.626090, lat:41.877346, long:-87.62609, alt2282, time(sec): 15.200092077255249
Item: 1126, Location ID: CQ4m0BHSErcIENNexAtWrA_41.852686_-87.685061, lat:41.852686, long:-87.685061, alt2283, time(sec): 14.131736755371094
Item: 1127, Location ID: Hs8vFceQDP_UTIw06uGB8Q_41.870914_-87.617225, lat:41.870914, long:-87.617225, alt2277, time(sec): 14.120370149612427
Item: 1128, Location ID: p5QDTvJ1cNxMt6FsfjjzZg_41.861893_-87.642008, lat:41.861893, long:-87.642008, alt2281, time(sec): 15.13681960105896
Item: 1129, Location ID: JgWr4chbA61YGkm6ksZSYQ_41.852399_-87.684377, lat:41.852399, long:-87.684377, alt2284, time(sec): 14.125041961669922
Item: 1130, Location ID: qSeXF7ZUGtRt-FG03K0QVg_41.855296_-87.661231, lat:41.855296, long:-87.661231, alt2282, time(sec): 15.127877950668335
Item: 1131, Location ID: P6CsigKzePavzEixQygEKw_41.863285_-87.628445, lat:41.863285, long:-87.628445, alt2283, time(sec): 16.124011516571045
Item: 1132, Location ID: r0X0bnVpP29D3o5MsBmjzw_41.852150_-87.643218, lat:41.85215, long:-87.643218, alt2281, time(sec): 15.13727331161499
Item: 1133, Location ID: eiyjtkjQb3cFusOx3dSutg_41.862302_-87.686743, lat:41.862302, long:-87.686743, alt2283, time(sec): 15.155455112457275
Item: 1134, Location ID: -Fttm0OijH_I0Ilc8KQZVg_41.874366_-87.685624, lat:41.874366, long:-87.685624, alt2281, time(sec): 15.18997597694397
Item: 1135, Location ID: MrUQYsTi3xw6nijHw32d3A_41.877598_-87.682610, lat:41.877598, long:-87.68261, alt2284, time(sec): 14.155794620513916
Item: 1136, Location ID: L5sZe4jxsCeyJ52AyNz8pQ_41.894367_-87.659427, lat:41.894367, long:-87.659427, alt2282, time(sec): 16.168190956115723
Item: 1137, Location ID: wcBCnZNv2KITZGbFw-hKiA_41.852412_-87.660626, lat:41.852412, long:-87.660626, alt2283, time(sec): 14.201405763626099
Item: 1138, Location ID: KWfHoNqNIfv62gQVWaR0VA_41.882619_-87.680787, lat:41.882619, long:-87.680787, alt2285, time(sec): 14.18053650856018
Item: 1139, Location ID: rZOOGRMg1D8NFJodaYKXfQ_41.879931_-87.654664, lat:41.879931, long:-87.654664, alt2283, time(sec): 16.19607377052307
Item: 1140, Location ID: juZ5KPbfWQx1sMqfx-N-_Q_41.859791_-87.623177, lat:41.859791, long:-87.623177, alt2287, time(sec): 15.228798389434814
Item: 1141, Location ID: mctkn9XrOAGfOtCB6Iqwlg_41.868320_-87.618673, lat:41.86832, long:-87.618673, alt2288, time(sec): 15.179346799850464
Item: 1142, Location ID: p1BBqf3Y1S_jaY6F9lWdSw_41.879351_-87.639626, lat:41.879351, long:-87.639626, alt2282, time(sec): 17.10809063911438
Item: 1143, Location ID: wIDtJHwUCg_PlUUaYPVU2A_41.882940_-87.674271, lat:41.88294, long:-87.674271, alt2285, time(sec): 15.154866456985474
Item: 1144, Location ID: 0RpmA2xvGo-CSJFL95pfnw_41.852392_-87.661905, lat:41.852392, long:-87.661905, alt2279, time(sec): 14.133671998977661
Item: 1145, Location ID: r84vVQA6WMVowPOmPpuhmw_41.892737_-87.675881, lat:41.892737, long:-87.675881, alt2283, time(sec): 15.174702882766724
Item: 1146, Location ID: OPnxZYZgDBdFe9fqAP3hMA_41.872342_-87.680040, lat:41.872342, long:-87.68004, alt2280, time(sec): 14.131505250930786
Item: 1147, Location ID: xOd6dtGmd88WN90RbDqDwg_41.869352_-87.687079, lat:41.869352, long:-87.687079, alt2281, time(sec): 14.144757270812988
Item: 1148, Location ID: QPKLzIsDO71ryAAGBJZpIw_41.891156_-87.680907, lat:41.891156, long:-87.680907, alt2283, time(sec): 14.17107343673706
Item: 1149, Location ID: Gsstmca4gkdOP_vvdzh06w_41.891340_-87.647800, lat:41.89134, long:-87.6478, alt2281, time(sec): 15.148178577423096
Item: 1150, Location ID: M4ODYko7SzUlbR2-a8r42A_41.889885_-87.687904, lat:41.889885, long:-87.687904, alt2285, time(sec): 14.16555142402649
Item: 1151, Location ID: zLUaFeLQiyeWbgClrPkDaQ_41.862516_-87.656276, lat:41.862516, long:-87.656276, alt2283, time(sec): 16.245062351226807
Item: 1152, Location ID: seUyn1Jo9et13qxkHF9CVA_41.889010_-87.650209, lat:41.88901, long:-87.650209, alt2281, time(sec): 15.153218507766724
Item: 1153, Location ID: NaEGYMQGlw9uWP4KIN-3Mg_41.890635_-87.618608, lat:41.890635, long:-87.618608, alt2280, time(sec): 18.16594123840332
Item: 1154, Location ID: pvRMhc0U2e3TgpxaiIVAxg_41.880205_-87.690400, lat:41.880205, long:-87.6904, alt2285, time(sec): 15.152276277542114
Item: 1155, Location ID: MX-DNSg_s5TgWWnVFOR5-A_41.889312_-87.669550, lat:41.889312, long:-87.66955, alt2282, time(sec): 15.137742519378662
Item: 1156, Location ID: hYPB__yg3R9gEzBvyDS0yA_41.890757_-87.680137, lat:41.890757, long:-87.680137, alt2285, time(sec): 14.156837224960327
Item: 1157, Location ID: ZGE9ScKgsyL7_5d3CXmnsA_41.873108_-87.660244, lat:41.873108, long:-87.660244, alt2284, time(sec): 16.156709671020508
Item: 1158, Location ID: DYcWDS2RJhL-kVdIrlZ_yg_41.875902_-87.680609, lat:41.875902, long:-87.680609, alt2281, time(sec): 14.199456930160522
Item: 1159, Location ID: ZPo37jPDsDs90yUF6R4E5g_41.870996_-87.681266, lat:41.870996, long:-87.681266, alt2284, time(sec): 13.179486513137817
Item: 1160, Location ID: 7CPODHya2-u-gbzgNSyAfg_41.892934_-87.664634, lat:41.892934, long:-87.664634, alt2283, time(sec): 15.172223329544067
Item: 1161, Location ID: xTxI6PSq-Dmq-4XSWM7elQ_41.875365_-87.647872, lat:41.875365, long:-87.647872, alt2281, time(sec): 15.160500764846802
Item: 1162, Location ID: GWDLF8GMbpEZLU3wipU6eg_41.869477_-87.638063, lat:41.869477, long:-87.638063, alt2283, time(sec): 15.18272066116333
Item: 1163, Location ID: 0hwRfZ1l607Emvzm51Uogw_41.881341_-87.674597, lat:41.881341, long:-87.674597, alt2292, time(sec): 14.1365225315094
Item: 1164, Location ID: WSYeah8boYMq6cU5-wHkIg_41.853314_-87.661207, lat:41.853314, long:-87.661207, alt2282, time(sec): 15.118924379348755
Item: 1165, Location ID: aa33S9EwIR6vi0-IqCYNoA_41.866659_-87.642143, lat:41.866659, long:-87.642143, alt2284, time(sec): 14.156500101089478
Item: 1166, Location ID: IeKV22LtwK0ge0gD9T75-w_41.877738_-87.628782, lat:41.877738, long:-87.628782, alt2327, time(sec): 18.19644832611084
Item: 1167, Location ID: OvPXK-r27DgRzjQi4biJ7A_41.867473_-87.686633, lat:41.867473, long:-87.686633, alt2282, time(sec): 14.14703631401062
Item: 1168, Location ID: 0wkOprKCqYb61Myg-UH0Ww_41.883961_-87.666793, lat:41.883961, long:-87.666793, alt2286, time(sec): 15.150899887084961
Item: 1169, Location ID: LuCPLxLOEalEMfMghHw7rQ_41.889980_-87.632764, lat:41.88998, long:-87.632764, alt2284, time(sec): 17.18989849090576
Item: 1170, Location ID: 0eGsr5QJCilRbeqb5Of1pQ_41.853202_-87.669735, lat:41.853202, long:-87.669735, alt2283, time(sec): 15.146826267242432
