ExpID: 1767431933
Start Location: 1687
Location: Chicago
Number of Location: 1000
StartTime: 2026-01-03 04:18:53.865858

Item: 1687, Location ID: _5ICqudHlH54xM1vM1ygzQ_41.884279_-87.661284, lat:41.884279, long:-87.661284, alt282, time(sec): 90.47169327735901
Item: 1736, Location ID: Dkq5ElCBJkgjGv4MTnAPYQ_41.864211_-87.671310, lat:41.864211, long:-87.67131, alt285, time(sec): 393.2061219215393
Item: 1737, Location ID: 32LMIM3kfRzZ4Q-EUCX_ZA_41.870297_-87.660617, lat:41.870297, long:-87.660617, alt287, time(sec): 93.23153495788574
Item: 1738, Location ID: hSropzy3hlzK2a-nrxoo0w_41.857650_-87.639654, lat:41.85765, long:-87.639654, alt282, time(sec): 111.18100786209106
Item: 1739, Location ID: vCOIQgoKorQCtDZcE7IlXw_41.877734_-87.661249, lat:41.877734, long:-87.661249, alt284, time(sec): 154.1855273246765
Item: 1740, Location ID: m78zAAHHZma0sl3bfWzRLA_41.894565_-87.676314, lat:41.894565, long:-87.676314, alt283, time(sec): 207.1948971748352
Item: 1741, Location ID: QkA6uXQJ3CI0uTwENqoBVA_41.870940_-87.662893, lat:41.87094, long:-87.662893, alt286, time(sec): 251.1724236011505
Item: 1742, Location ID: mxvXkP9-FtBgnNFw5O5eag_41.879867_-87.626919, lat:41.879867, long:-87.626919, alt337, time(sec): 655.2204351425171
Item: 1743, Location ID: mcxm2hxWsifJiRc2vOsKYg_41.885693_-87.652491, lat:41.885693, long:-87.652491, alt279, time(sec): 514.2164776325226
Item: 1744, Location ID: ESafGUahEbzqT3R6LZcuYQ_41.889769_-87.647632, lat:41.889769, long:-87.647632, alt282, time(sec): 515.2046484947205
Item: 1745, Location ID: 9yzKYmCsm_Zd2OuRd2Aeiw_41.885507_-87.646420, lat:41.885507, long:-87.64642, alt282, time(sec): 156.1847653388977
Item: 1746, Location ID: znv8PrpNJ7D9fF9EBMd8GQ_41.869391_-87.683641, lat:41.869391, long:-87.683641, alt284, time(sec): 83.22456979751587
Item: 1747, Location ID: OWJ26k8yq8Ph50kc_1s0pQ_41.885699_-87.640541, lat:41.885699, long:-87.640541, alt289, time(sec): 101.21302127838135
Item: 1748, Location ID: 4l1m4Rh2VQtxsW8Y0vCDug_41.862265_-87.621543, lat:41.862265, long:-87.621543, alt288, time(sec): 95.22544384002686
Item: 1749, Location ID: 5ERZApw4wJVoEXkXKEq7ag_41.867606_-87.680288, lat:41.867606, long:-87.680288, alt287, time(sec): 83.22815704345703
Item: 1750, Location ID: ABaufFTGGuotRoHQnMSxUg_41.862447_-87.639736, lat:41.862447, long:-87.639736, alt284, time(sec): 82.21698117256165
Item: 1751, Location ID: Y0YB-phuJKYV4RmCsiShUA_41.892535_-87.647281, lat:41.892535, long:-87.647281, alt282, time(sec): 89.21019625663757
Item: 1752, Location ID: lgUP8HbykIbxOep9yAadGw_41.891892_-87.677652, lat:41.891892, long:-87.677652, alt284, time(sec): 85.22390174865723
Item: 1753, Location ID: REHLYgiG4-mutY4NMxDR2Q_41.890987_-87.645098, lat:41.890987, long:-87.645098, alt284, time(sec): 91.23919343948364
Item: 1754, Location ID: PLdQf4V89WeXKinKHQF5jA_41.893076_-87.683233, lat:41.893076, long:-87.683233, alt282, time(sec): 82.21827840805054
Item: 1755, Location ID: hcM5WFaHZwkZzmA4eHpssA_41.854024_-87.620700, lat:41.854024, long:-87.6207, alt283, time(sec): 94.20715117454529
Item: 1756, Location ID: J9wxaiLQIq2593_x89FgWg_41.885225_-87.669902, lat:41.885225, long:-87.669902, alt284, time(sec): 85.21274447441101
Item: 1757, Location ID: IR8-iu7M2fZnUHbzhqZdSg_41.882026_-87.665231, lat:41.882026, long:-87.665231, alt281, time(sec): 89.2154643535614
Item: 1758, Location ID: gQ4RlzFfKVzpdfhJN1l81w_41.880641_-87.683976, lat:41.880641, long:-87.683976, alt282, time(sec): 83.23124408721924
Item: 1759, Location ID: Cc4_Pfky7iUI3NFuFCu7NA_41.876198_-87.661117, lat:41.876198, long:-87.661117, alt277, time(sec): 84.2229073047638
Item: 1760, Location ID: hEluJxrFgNRvcSH3Cew0uQ_41.875073_-87.675987, lat:41.875073, long:-87.675987, alt282, time(sec): 84.21196556091309
Item: 1761, Location ID: 6Ts6GwYaDfzleverwj8QYg_41.893069_-87.683731, lat:41.893069, long:-87.683731, alt281, time(sec): 82.20914101600647
Item: 1762, Location ID: vNpjFWw-YCLwjbxM6hsGEA_41.875707_-87.619605, lat:41.875707, long:-87.619605, alt286, time(sec): 89.22203350067139
Item: 1763, Location ID: NGvFa6rncd_QljuVhacizA_41.894946_-87.640003, lat:41.894946, long:-87.640003, alt294, time(sec): 99.19259929656982
Item: 1764, Location ID: e_bL4g409Z0Ty4UDLcPkaA_41.876134_-87.681052, lat:41.876134, long:-87.681052, alt281, time(sec): 83.21742749214172
Item: 1765, Location ID: emD7Aw0ZoemdNvuGIiSYXg_41.894909_-87.652730, lat:41.894909, long:-87.65273, alt278, time(sec): 90.21838402748108
Item: 1766, Location ID: PCcCCnp2BNvOo5huIJPxFg_41.887946_-87.635145, lat:41.887946, long:-87.635145, alt281, time(sec): 109.20174050331116
Item: 1767, Location ID: hep787GcFa-fohfTHu9EAg_41.877521_-87.652496, lat:41.877521, long:-87.652496, alt285, time(sec): 94.20097804069519
Item: 1768, Location ID: 9lNrVqos3Z1hHbUO3KfNEg_41.888519_-87.649880, lat:41.888519, long:-87.64988, alt279, time(sec): 93.21703362464905
