ExpID: 1767266869
Start Location: 889
Location: Chicago
Number of Location: 1000
StartTime: 2026-01-01 06:27:49.627608

Item: 889, Location ID: Zbq-VZlFcrwFFvEO4mXNfA_41.874229_-87.657244, lat:41.874229, long:-87.657244, alt286, time(sec): 88.37494683265686
Item: 902, Location ID: ChUkZlB3PiyaKcSbNdZCFQ_41.856257_-87.625615, lat:41.856257, long:-87.625615, alt281, time(sec): 88.21372318267822
Item: 903, Location ID: ftc02p_Ooj8u2Ezt-08SJg_41.855854_-87.623979, lat:41.855854, long:-87.623979, alt285, time(sec): 87.23493957519531
Item: 904, Location ID: auyU4wQ7ugotTTUOfxsTjQ_41.871843_-87.630636, lat:41.871843, long:-87.630636, alt286, time(sec): 96.20317125320435
Item: 905, Location ID: opvFwRA1R75h2Rnhzp7MHA_41.867465_-87.626093, lat:41.867465, long:-87.626093, alt282, time(sec): 93.21509552001953
Item: 906, Location ID: f1z_KGWcCrR443pAr4AVzg_41.857321_-87.689069, lat:41.857321, long:-87.689069, alt287, time(sec): 81.2278425693512
Item: 907, Location ID: 3WI7cU-2FYVGOd4H9W9Y2g_41.894120_-87.625813, lat:41.89412, long:-87.625813, alt297, time(sec): 111.19837284088135
Item: 908, Location ID: xYUQ5sEeQe1Uc_n6SBdbsw_41.886893_-87.624484, lat:41.886893, long:-87.624484, alt282, time(sec): 105.1622359752655
Item: 909, Location ID: -ujo8_MNkNTHrpZQKIH_bA_41.861574_-87.625733, lat:41.861574, long:-87.625733, alt289, time(sec): 92.21099805831909
Item: 910, Location ID: UXOHkPf776r-PW30rzd-eA_41.881774_-87.649469, lat:41.881774, long:-87.649469, alt283, time(sec): 95.19648623466492
Item: 911, Location ID: 3xDcbfqiE4jRq1r1Ai2gwg_41.877126_-87.658145, lat:41.877126, long:-87.658145, alt284, time(sec): 87.22340202331543
Item: 912, Location ID: JbUNtZ_ByBm14h7Cca894A_41.889624_-87.622036, lat:41.889624, long:-87.622036, alt288, time(sec): 107.20767545700073
Item: 913, Location ID: 6crFz1EAKjGmzq4Isy19qQ_41.878227_-87.627218, lat:41.878227, long:-87.627218, alt271, time(sec): 107.20869708061218
Item: 914, Location ID: UCsF60f327JsdgghlOc3Gw_41.864987_-87.672097, lat:41.864987, long:-87.672097, alt282, time(sec): 81.20735025405884
Item: 915, Location ID: 7Ft7TjV0cxn2Bm5oCNHNZg_41.894861_-87.685148, lat:41.894861, long:-87.685148, alt285, time(sec): 83.21343231201172
Item: 916, Location ID: Umb_d3_aZv4UypDJhVOGTQ_41.888538_-87.617338, lat:41.888538, long:-87.617338, alt277, time(sec): 98.21044635772705
Item: 917, Location ID: OINgrXvOjtaR8-4Pq68c2w_41.887382_-87.617465, lat:41.887382, long:-87.617465, alt283, time(sec): 92.2070095539093
Item: 918, Location ID: IjwlcuICfLpTOv2D9tKz3A_41.854877_-87.680050, lat:41.854877, long:-87.68005, alt284, time(sec): 80.20783567428589
Item: 919, Location ID: Xbs2orOT7VU0-2nUUml4Ig_41.887979_-87.635880, lat:41.887979, long:-87.63588, alt278, time(sec): 102.18924832344055
Item: 920, Location ID: DGJlaM8CbBqDKLZUrso7OA_41.883523_-87.682265, lat:41.883523, long:-87.682265, alt290, time(sec): 81.19578194618225
Item: 921, Location ID: b6q07bc_UfRuyMySw1uJeA_41.885457_-87.641337, lat:41.885457, long:-87.641337, alt288, time(sec): 99.19795846939087
Item: 922, Location ID: FvY8VlDvy8tR0-FK2KDbbA_41.872265_-87.653276, lat:41.872265, long:-87.653276, alt283, time(sec): 87.21245169639587
Item: 923, Location ID: kzNagkfjnBM6-sdrT6XwrA_41.864082_-87.624670, lat:41.864082, long:-87.62467, alt289, time(sec): 93.20793581008911
Item: 924, Location ID: HPEa3ou1-UowwDM2NLUeFA_41.882096_-87.685828, lat:41.882096, long:-87.685828, alt284, time(sec): 80.19492053985596
Item: 925, Location ID: tm1tPEuVAFEKMGvjWKO_8Q_41.871850_-87.655316, lat:41.87185, long:-87.655316, alt284, time(sec): 87.21345376968384
Item: 926, Location ID: kFLPpGdQOy1M6tPSLQfdcA_41.874321_-87.631673, lat:41.874321, long:-87.631673, alt291, time(sec): 102.20312118530273
Item: 927, Location ID: 7sYVI8-EkfivTmyTW06XDw_41.891662_-87.648342, lat:41.891662, long:-87.648342, alt277, time(sec): 88.2092776298523
Item: 928, Location ID: iLQO6yfd64_De8AjXFzApg_41.865888_-87.647328, lat:41.865888, long:-87.647328, alt284, time(sec): 83.20610690116882
Item: 929, Location ID: 2L0TYhU9coSwatBnqiS7BQ_41.883012_-87.684911, lat:41.883012, long:-87.684911, alt284, time(sec): 86.2151472568512
Item: 930, Location ID: xvWyyAMkuyJMoGJawyi0fg_41.885183_-87.622319, lat:41.885183, long:-87.622319, alt290, time(sec): 213.17619705200195
Item: 931, Location ID: nvQtSvgx4Rpk4PGixdRnIg_41.879013_-87.629316, lat:41.879013, long:-87.629316, alt277, time(sec): 428.17263650894165
Item: 932, Location ID: 693r0elvR9SQOb6Z4_sabg_41.884171_-87.641281, lat:41.884171, long:-87.641281, alt287, time(sec): 498.20114517211914
Item: 933, Location ID: 3rvWaYBdf7u8FAwspiX9WQ_41.877342_-87.627753, lat:41.877342, long:-87.627753, alt306, time(sec): 793.2498741149902
Item: 934, Location ID: yxLQTuKH7uYCJA_RwRovtg_41.880300_-87.686982, lat:41.8803, long:-87.686982, alt283, time(sec): 410.19662714004517
Item: 935, Location ID: L2PAz0lhfK25V8x-4jgCAg_41.883242_-87.627290, lat:41.883242, long:-87.62729, alt283, time(sec): 1130.3051648139954
Item: 936, Location ID: 1URcAzrvRJzFJpR_5c4Srg_41.865389_-87.664131, lat:41.865389, long:-87.664131, alt292, time(sec): 92.18326234817505
Item: 937, Location ID: YxzbhgR-jr8RPsl0toFCaw_41.891813_-87.659337, lat:41.891813, long:-87.659337, alt278, time(sec): 88.21078681945801
Item: 938, Location ID: NF3yo7F42RFT_lh7HqoQYg_41.893927_-87.660136, lat:41.893927, long:-87.660136, alt280, time(sec): 88.22609424591064
Item: 939, Location ID: YYySZM5-eYS4lYG-vaa2oQ_41.879525_-87.625515, lat:41.879525, long:-87.625515, alt347, time(sec): 112.19790172576904
Item: 940, Location ID: 8mnNShh7max3tTTzwLCq4w_41.888325_-87.642924, lat:41.888325, long:-87.642924, alt278, time(sec): 93.19952583312988
Item: 941, Location ID: 1G7RlCeSIhqRHg7xb2_c4w_41.876297_-87.672876, lat:41.876297, long:-87.672876, alt284, time(sec): 86.21699976921082
Item: 942, Location ID: one2kAJrscoVpjF2sxVSjg_41.878294_-87.665140, lat:41.878294, long:-87.66514, alt285, time(sec): 86.21861505508423
Item: 943, Location ID: orAuGurpwzJ4mQMN8pf-mA_41.863720_-87.686010, lat:41.86372, long:-87.68601, alt280, time(sec): 79.21678757667542
Item: 944, Location ID: oZ48_MNc6dQjsiD6YvEZAg_41.876525_-87.623597, lat:41.876525, long:-87.623597, alt285, time(sec): 100.19808316230774
Item: 945, Location ID: LtX8_xnelZaVLsdaEHsu-g_41.884362_-87.655122, lat:41.884362, long:-87.655122, alt283, time(sec): 93.18804383277893
Item: 946, Location ID: tSEle2WnUZg_AsFYrzTvEg_41.890497_-87.661464, lat:41.890497, long:-87.661464, alt280, time(sec): 86.21893739700317
Item: 947, Location ID: 3IA-a-kxfIe5juEKdWySDw_41.870500_-87.641005, lat:41.8705, long:-87.641005, alt278, time(sec): 84.21161484718323
Item: 948, Location ID: ppOTx1mYJ2Q8jiUdV7DLIA_41.894628_-87.647692, lat:41.894628, long:-87.647692, alt284, time(sec): 92.2246265411377
Item: 949, Location ID: T4M5R-kNdHNbgQ6VRjQRRg_41.891731_-87.672045, lat:41.891731, long:-87.672045, alt283, time(sec): 88.22047543525696
Item: 950, Location ID: tQm7J59ii1chjocd9n0T3Q_41.856884_-87.655873, lat:41.856884, long:-87.655873, alt278, time(sec): 86.2230908870697
Item: 951, Location ID: G-LxgHC-j5MFENTp1gJQyA_41.868208_-87.632422, lat:41.868208, long:-87.632422, alt279, time(sec): 87.21488785743713
Item: 952, Location ID: MTAzrbq9YiVSkzw8AybrCw_41.860663_-87.656497, lat:41.860663, long:-87.656497, alt286, time(sec): 85.22596883773804
Item: 953, Location ID: KNNWf3Tw9gqBeoNMLfjDIw_41.862504_-87.656853, lat:41.862504, long:-87.656853, alt283, time(sec): 81.21727442741394
Item: 954, Location ID: T0HqM4Mu7xOZpd3iyZmWVQ_41.858708_-87.624783, lat:41.858708, long:-87.624783, alt282, time(sec): 90.21190857887268
Item: 955, Location ID: GiwpaTreQVASiRDppUB6LA_41.869046_-87.625026, lat:41.869046, long:-87.625026, alt286, time(sec): 94.2109546661377
Item: 956, Location ID: GOP32Uc34aYIOfr1xq0oVQ_41.864700_-87.652144, lat:41.8647, long:-87.652144, alt287, time(sec): 85.22232222557068
Item: 957, Location ID: RfhJglbmg1gqIa3oHavZPA_41.857084_-87.656396, lat:41.857084, long:-87.656396, alt282, time(sec): 84.2111189365387
Item: 958, Location ID: qLCbkKy72HiuC1Yc9d_5iw_41.882285_-87.662309, lat:41.882285, long:-87.662309, alt282, time(sec): 90.21814250946045
Item: 959, Location ID: qXvXs6vx4IxWlyly6fIeDw_41.880278_-87.659794, lat:41.880278, long:-87.659794, alt286, time(sec): 90.23211669921875
Item: 960, Location ID: J8gZsudicpKAkoUilBZM8A_41.886531_-87.617353, lat:41.886531, long:-87.617353, alt284, time(sec): 99.20674729347229
Item: 961, Location ID: KJBuCnWltjA9ZjuYbgCZUw_41.866156_-87.624147, lat:41.866156, long:-87.624147, alt278, time(sec): 95.2049331665039
Item: 962, Location ID: ME4pTjEz0f5nLETWTVrkVA_41.894036_-87.681633, lat:41.894036, long:-87.681633, alt281, time(sec): 85.20535612106323
Item: 963, Location ID: hQCiieIz4GtZbYLSSx1t8Q_41.862425_-87.651359, lat:41.862425, long:-87.651359, alt283, time(sec): 82.20647668838501
Item: 964, Location ID: 63np173E0Kn4bF0t-eslfg_41.860527_-87.648743, lat:41.860527, long:-87.648743, alt288, time(sec): 83.22017002105713
Item: 965, Location ID: SMDz8vlPCp-HLIplzQPpfQ_41.890813_-87.678552, lat:41.890813, long:-87.678552, alt282, time(sec): 82.20499062538147
Item: 966, Location ID: 2zbQK5Hpzq6ikf0xWv_0lw_41.861902_-87.671283, lat:41.861902, long:-87.671283, alt285, time(sec): 82.2258894443512
Item: 967, Location ID: MPDo3WRQ6szpFFDUINpEtg_41.862036_-87.647251, lat:41.862036, long:-87.647251, alt280, time(sec): 85.20955276489258
Item: 968, Location ID: go5OikbuGvXyw9XHCJb3og_41.883089_-87.679733, lat:41.883089, long:-87.679733, alt281, time(sec): 83.21628069877625
Item: 969, Location ID: PDyyKR-3X1sR4uVM8sI0wA_41.894729_-87.641536, lat:41.894729, long:-87.641536, alt295, time(sec): 99.21125912666321
Item: 970, Location ID: gcwfKtSH_hZZg1NZ32gZ2Q_41.882373_-87.622880, lat:41.882373, long:-87.62288, alt283, time(sec): 106.18462347984314
Item: 971, Location ID: _FfQZ5Lz2Vlqv6orIFHYTQ_41.890977_-87.651173, lat:41.890977, long:-87.651173, alt281, time(sec): 90.20730400085449
Item: 972, Location ID: gcQ03VTq_nS6wIKsZMjgyQ_41.878409_-87.672953, lat:41.878409, long:-87.672953, alt282, time(sec): 87.21843695640564
Item: 973, Location ID: Ad8XsdbUqy_10ADzZQNG9g_41.881337_-87.634741, lat:41.881337, long:-87.634741, alt283, time(sec): 120.1838448047638
Item: 974, Location ID: YSlGfzWjjNp5ICT0wq3_WA_41.894760_-87.637533, lat:41.89476, long:-87.637533, alt283, time(sec): 100.21325945854187
Item: 975, Location ID: cg-3aliLDyJ5SVsVxgTjEg_41.881308_-87.676976, lat:41.881308, long:-87.676976, alt279, time(sec): 84.22435402870178
Item: 976, Location ID: VBTzNfu9dDsmkPyvd9-_rQ_41.884223_-87.637936, lat:41.884223, long:-87.637936, alt286, time(sec): 128.18173503875732
Item: 977, Location ID: KGtMyobX1_uBcBKYsGm1Dg_41.856023_-87.623096, lat:41.856023, long:-87.623096, alt284, time(sec): 161.1792242527008
Item: 978, Location ID: ppgi6sLQN6p57fDnDtKHqQ_41.890592_-87.645101, lat:41.890592, long:-87.645101, alt285, time(sec): 225.16230750083923
Item: 979, Location ID: Fv2tJQzwY26lD5NAREng8Q_41.893143_-87.686778, lat:41.893143, long:-87.686778, alt283, time(sec): 234.18781900405884
Item: 980, Location ID: W0WX38y6odpC6bIymGXkuQ_41.869676_-87.642081, lat:41.869676, long:-87.642081, alt276, time(sec): 277.1777648925781
Item: 981, Location ID: _2MTymWf_cDlnvA4jgLulA_41.892261_-87.647201, lat:41.892261, long:-87.647201, alt282, time(sec): 359.1849684715271
Item: 982, Location ID: It2AEX19uhb1PSzRCj0j5g_41.857618_-87.681891, lat:41.857618, long:-87.681891, alt284, time(sec): 300.18737506866455
Item: 983, Location ID: ww0fFNda4gusxVQHZuiwjw_41.870397_-87.662300, lat:41.870397, long:-87.6623, alt285, time(sec): 438.20706725120544
Item: 984, Location ID: tNgT7fEP4WS-z6GKwm4gEw_41.863663_-87.639669, lat:41.863663, long:-87.639669, alt285, time(sec): 386.18922686576843
Item: 985, Location ID: UAcWL1CUNGmeIYDbWrksQA_41.882202_-87.679079, lat:41.882202, long:-87.679079, alt284, time(sec): 444.2070837020874
Item: 986, Location ID: 463k5XpCoMeUd0Gax1EHog_41.886952_-87.638294, lat:41.886952, long:-87.638294, alt277, time(sec): 683.2299563884735
Item: 987, Location ID: 8Ro6hAGPoD4wZMf5sE7jdA_41.895011_-87.619145, lat:41.895011, long:-87.619145, alt294, time(sec): 115.18980693817139
Item: 988, Location ID: iQrCTrzfI9UJRQefF3-Mpw_41.859792_-87.654540, lat:41.859792, long:-87.65454, alt284, time(sec): 88.19741177558899
Item: 989, Location ID: d5817xKmJiQ0yZER4BbO2g_41.875215_-87.664472, lat:41.875215, long:-87.664472, alt277, time(sec): 91.21058630943298
Item: 990, Location ID: -8SBUT2zEI0pwqhNo7W2-g_41.852088_-87.636488, lat:41.852088, long:-87.636488, alt281, time(sec): 89.21045660972595
Item: 991, Location ID: XRSAHyRlOquow4Osf7rPRw_41.885534_-87.666954, lat:41.885534, long:-87.666954, alt283, time(sec): 63.241724729537964
Item: 992, Location ID: njdukwu_tVtPk58RdekhCA_41.884090_-87.637007, lat:41.88409, long:-87.637007, alt287, time(sec): 118.19392347335815
Item: 993, Location ID: dh9vsRumD_NJq58T9RhmPA_41.894757_-87.636103, lat:41.894757, long:-87.636103, alt283, time(sec): 104.22216033935547
Item: 994, Location ID: Wt0kHiQSBsBv3BUItC5eCw_41.875341_-87.644759, lat:41.875341, long:-87.644759, alt275, time(sec): 94.2132785320282
Item: 995, Location ID: LpHCcRetTDcTa7-HXGWZkg_41.887679_-87.635036, lat:41.887679, long:-87.635036, alt313, time(sec): 121.18135619163513
Item: 996, Location ID: DODBA3vDzAIIpjdqoQkobw_41.871388_-87.623225, lat:41.871388, long:-87.623225, alt285, time(sec): 102.19051218032837
Item: 997, Location ID: bORW2HxHsq9vgCxdV0dGpQ_41.863086_-87.624913, lat:41.863086, long:-87.624913, alt289, time(sec): 100.21173572540283
Item: 998, Location ID: ZuCv4DwfiUsbcQBhFnqIKA_41.858296_-87.678468, lat:41.858296, long:-87.678468, alt278, time(sec): 83.21695303916931
Item: 999, Location ID: EktTAMxncFDCKEn9w0YDkA_41.875460_-87.663132, lat:41.87546, long:-87.663132, alt279, time(sec): 90.21872806549072
Item: 1000, Location ID: tzzH1opTDd2sVPxCFza03Q_41.878805_-87.644035, lat:41.878805, long:-87.644035, alt282, time(sec): 100.21216034889221
Item: 1001, Location ID: -YDi31axsLsAff634lELzg_41.866627_-87.621669, lat:41.866627, long:-87.621669, alt279, time(sec): 95.19781732559204
Item: 1002, Location ID: DWjcg0l97VsyhucjeKpjbA_41.861137_-87.687844, lat:41.861137, long:-87.687844, alt284, time(sec): 83.21561026573181
Item: 1003, Location ID: wbMOW9i-IYEGP2yOIdZAeQ_41.856016_-87.664349, lat:41.856016, long:-87.664349, alt283, time(sec): 85.21253752708435
Item: 1004, Location ID: rQGVHeIWRQkKeELqiwEN9g_41.864572_-87.634858, lat:41.864572, long:-87.634858, alt282, time(sec): 83.21130704879761
Item: 1005, Location ID: NYbwagPqq5fnVHwzo-JWow_41.885820_-87.679712, lat:41.88582, long:-87.679712, alt281, time(sec): 85.21594262123108
Item: 1006, Location ID: _EiCH0kxKasvTA1A9ZJy4w_41.876966_-87.651856, lat:41.876966, long:-87.651856, alt282, time(sec): 97.2227475643158
Item: 1007, Location ID: Q7TYAPSdROfdkTMxwCESrw_41.852147_-87.632974, lat:41.852147, long:-87.632974, alt283, time(sec): 91.21317434310913
Item: 1008, Location ID: s5BSBH4pzy9rIVY5L3j51Q_41.883248_-87.671441, lat:41.883248, long:-87.671441, alt285, time(sec): 89.21597743034363
Item: 1009, Location ID: caXmFUEID_MCT4ARnv9KxQ_41.889658_-87.680521, lat:41.889658, long:-87.680521, alt282, time(sec): 85.22772884368896
Item: 1010, Location ID: gPtxDwbj6aYNUgNI9wvGYw_41.894609_-87.673350, lat:41.894609, long:-87.67335, alt285, time(sec): 96.21817827224731
Item: 1011, Location ID: bsVP1ZqXpbzmXqQP3VQY0w_41.856833_-87.643312, lat:41.856833, long:-87.643312, alt281, time(sec): 92.2117235660553
Item: 1012, Location ID: MYFGvxi-EQEnOtcubsgEXg_41.857027_-87.623976, lat:41.857027, long:-87.623976, alt284, time(sec): 96.21588182449341
Item: 1013, Location ID: AtNcWsRPi2UQd_JxVbERWg_41.894800_-87.648919, lat:41.8948, long:-87.648919, alt285, time(sec): 94.19294929504395
Item: 1014, Location ID: xdg_3XblOJqUaFrLL23o6g_41.882277_-87.658631, lat:41.882277, long:-87.658631, alt282, time(sec): 96.21241760253906
Item: 1015, Location ID: LGQMCrLyDsWpiYc3HhWfqA_41.856579_-87.631883, lat:41.856579, long:-87.631883, alt283, time(sec): 88.21268081665039
Item: 1016, Location ID: fhwY4ytEgxSX0LoeEEs-zQ_41.855554_-87.659347, lat:41.855554, long:-87.659347, alt283, time(sec): 87.22219729423523
Item: 1017, Location ID: oSHWox-HhWRbxAy_xd4EWg_41.879016_-87.660670, lat:41.879016, long:-87.66067, alt283, time(sec): 93.21307396888733
Item: 1018, Location ID: ztSrYK8opawbrUCd-M_7gQ_41.864906_-87.680810, lat:41.864906, long:-87.68081, alt284, time(sec): 84.2197515964508
Item: 1019, Location ID: b4FszqZZPsVJTtrij1mHTw_41.862607_-87.646772, lat:41.862607, long:-87.646772, alt281, time(sec): 88.21991014480591
Item: 1020, Location ID: nHhHk_b_RaQbbrcgF4TNYg_41.878209_-87.620889, lat:41.878209, long:-87.620889, alt288, time(sec): 97.20907735824585
Item: 1021, Location ID: 3zDyUEGNZAz48krEYoQuxA_41.894498_-87.639999, lat:41.894498, long:-87.639999, alt291, time(sec): 102.19909310340881
Item: 1022, Location ID: quV7xMfhCxrQiQiDWRrEPw_41.867654_-87.651138, lat:41.867654, long:-87.651138, alt284, time(sec): 89.20664381980896
Item: 1023, Location ID: oataz7u1IXDQHeyKGuL9mg_41.879316_-87.640021, lat:41.879316, long:-87.640021, alt311, time(sec): 116.20257639884949
Item: 1024, Location ID: Zv3nJmARefdIzq1BCY3iIw_41.852360_-87.639168, lat:41.85236, long:-87.639168, alt285, time(sec): 92.20581078529358
Item: 1025, Location ID: Q9wVbwQjhtRXCgQAdR9MAw_41.879183_-87.650128, lat:41.879183, long:-87.650128, alt287, time(sec): 106.20144629478455
Item: 1026, Location ID: H2jK87UgvzRZi5IJMj_E1g_41.854845_-87.681798, lat:41.854845, long:-87.681798, alt283, time(sec): 104.20192170143127
Item: 1027, Location ID: nZsKZXbCrE5DlKWZP2yGMw_41.893203_-87.675232, lat:41.893203, long:-87.675232, alt283, time(sec): 151.19693183898926
Item: 1028, Location ID: OtV16zw1NDbVKWF8R5d29A_41.884496_-87.671859, lat:41.884496, long:-87.671859, alt283, time(sec): 178.1886875629425
Item: 1029, Location ID: Y-f6b409KVP6uaOodH4LcA_41.893411_-87.631169, lat:41.893411, long:-87.631169, alt277, time(sec): 381.1871464252472
Item: 1030, Location ID: ph3Zy3vAZVTVkhLehFVWHw_41.878244_-87.654609, lat:41.878244, long:-87.654609, alt281, time(sec): 379.18528270721436
Item: 1031, Location ID: K3CYi9nM4jT5q_RmrE16hQ_41.868573_-87.664083, lat:41.868573, long:-87.664083, alt280, time(sec): 368.1934118270874
Item: 1032, Location ID: 4iBJuQTxhrtCUT5bz8Paqg_41.867592_-87.672767, lat:41.867592, long:-87.672767, alt282, time(sec): 389.2047469615936
Item: 1033, Location ID: ZtOW3tWL73qYawknMiA9UA_41.867842_-87.641130, lat:41.867842, long:-87.64113, alt285, time(sec): 399.2039496898651
Item: 1034, Location ID: mnir5QyLt7LM_N20ROKbKg_41.886295_-87.626314, lat:41.886295, long:-87.626314, alt281, time(sec): 990.2842490673065
Item: 1035, Location ID: fMUWpfMd7OEY4iagivH6SA_41.885604_-87.673227, lat:41.885604, long:-87.673227, alt281, time(sec): 221.1955075263977
Item: 1036, Location ID: puXCty--77LaujfOkwzKYQ_41.892818_-87.671443, lat:41.892818, long:-87.671443, alt282, time(sec): 109.22860455513
Item: 1037, Location ID: 0YG9wv1mXnpKExNFcpFyvg_41.884299_-87.680216, lat:41.884299, long:-87.680216, alt283, time(sec): 121.21736121177673
Item: 1038, Location ID: 47_WTKNs-lnUTYNNvR3GEA_41.867924_-87.680294, lat:41.867924, long:-87.680294, alt287, time(sec): 162.20237255096436
Item: 1039, Location ID: MWNgjSf5AGn_K6kKIoK3Nw_41.894348_-87.690844, lat:41.894348, long:-87.690844, alt279, time(sec): 201.17924237251282
Item: 1040, Location ID: stI5HER6h45qhg1pFXlsDQ_41.878462_-87.636915, lat:41.878462, long:-87.636915, alt282, time(sec): 484.19957876205444
Item: 1041, Location ID: I8-nwh2MW3abdmLFT8RHLA_41.855415_-87.674387, lat:41.855415, long:-87.674387, alt284, time(sec): 299.1648075580597
Item: 1042, Location ID: 8zhn79a1SRT-U0DuoVG4rQ_41.854509_-87.676535, lat:41.854509, long:-87.676535, alt283, time(sec): 258.21972465515137
Item: 1043, Location ID: jFiOZS1SxG-gO2geZnZpsQ_41.881938_-87.631777, lat:41.881938, long:-87.631777, alt283, time(sec): 1012.2849476337433
Item: 1044, Location ID: pbZYPubdOElVERRJ2gjEiA_41.867326_-87.628702, lat:41.867326, long:-87.628702, alt282, time(sec): 620.2158751487732
Item: 1045, Location ID: VioSIMSOjW7_MN36oYGX6w_41.881218_-87.640522, lat:41.881218, long:-87.640522, alt290, time(sec): 350.1973240375519
Item: 1046, Location ID: ZsRClqsq5aVuV5j6mLLXag_41.852670_-87.651456, lat:41.85267, long:-87.651456, alt279, time(sec): 87.20609307289124
Item: 1047, Location ID: eM-k_3fw1OEVSAc8oEWpkg_41.862202_-87.625762, lat:41.862202, long:-87.625762, alt284, time(sec): 97.21579098701477
Item: 1048, Location ID: qpq7lPjqtjYJvR4gT0oYmw_41.879621_-87.647250, lat:41.879621, long:-87.64725, alt287, time(sec): 63.226508140563965
Item: 1049, Location ID: hl03eSnxUVAbdT595b6M4g_41.861919_-87.617431, lat:41.861919, long:-87.617431, alt290, time(sec): 94.23225688934326
Item: 1050, Location ID: 8WfoR5Y8O1Ar0xBtS3bQtA_41.857676_-87.646619, lat:41.857676, long:-87.646619, alt282, time(sec): 85.19279599189758
Item: 1051, Location ID: TbVvffD6XmS3iEgmrrnc9A_41.884469_-87.638873, lat:41.884469, long:-87.638873, alt279, time(sec): 107.2066752910614
Item: 1052, Location ID: y5mf_kKJ-C6IdxzokEBQmQ_41.861353_-87.627244, lat:41.861353, long:-87.627244, alt285, time(sec): 94.21372485160828
Item: 1053, Location ID: T48udpJacdqBmJBd_efA0A_41.879328_-87.689550, lat:41.879328, long:-87.68955, alt285, time(sec): 83.19568419456482
Item: 1054, Location ID: UlD71adyr-iKiPOmTFcrKA_41.875630_-87.623873, lat:41.87563, long:-87.623873, alt292, time(sec): 104.21679949760437
Item: 1055, Location ID: OBtphx-6S861GotdS6bUAQ_41.885201_-87.681667, lat:41.885201, long:-87.681667, alt286, time(sec): 84.20823121070862
Item: 1056, Location ID: HyWEw-FgCWyhEhO-KaRxmA_41.886764_-87.622820, lat:41.886764, long:-87.62282, alt288, time(sec): 114.20393943786621
Item: 1057, Location ID: QoZMiRku_qy0TvHIzMnaMQ_41.879467_-87.691133, lat:41.879467, long:-87.691133, alt285, time(sec): 83.19768834114075
Item: 1058, Location ID: kruMuHZ9GuV42UTsCkRN6Q_41.885255_-87.648238, lat:41.885255, long:-87.648238, alt284, time(sec): 98.21185278892517
Item: 1059, Location ID: g_mCvnL1pB_qcCFXp8caew_41.868122_-87.617543, lat:41.868122, long:-87.617543, alt277, time(sec): 90.20894622802734
Item: 1060, Location ID: mkn_r80ikP45Rs_RQoXVHw_41.874536_-87.684410, lat:41.874536, long:-87.68441, alt282, time(sec): 84.20657682418823
Item: 1061, Location ID: lusIcLxox_SussRMdgEkzA_41.884123_-87.659421, lat:41.884123, long:-87.659421, alt280, time(sec): 93.20740699768066
Item: 1062, Location ID: KtKpymYx_gU2VWh-w0JPtw_41.876288_-87.626031, lat:41.876288, long:-87.626031, alt280, time(sec): 109.20224952697754
Item: 1063, Location ID: 3MBYFlPKXkBYhzthZu0gTg_41.868887_-87.631623, lat:41.868887, long:-87.631623, alt279, time(sec): 91.20218706130981
